publish_date,headline_place,headline_state,NCRB_stats,headline_text
20200929,city.rajkot,Gujarat,,Woman; paramour held for murder in Dwarka district
20201005,city.rajkot,Gujarat,,Three including woman held for murder in Gandhidham
20201018,city.rajkot,Gujarat,,Gujarat: Missing Mumbai woman's skeleton found year after murder in Amreli district
20200302,city.rajkot,Gujarat,,Woman killed; 15 hurt as SUV overturns
20200416,city.rajkot,Gujarat,,35-year-old woman sexually assaulted; killed in Rajkot
20200520,city.rajkot,Gujarat,,Woman killed for resisting rape attempt in Rajkot
20200908,city.rajkot,Gujarat,,Woman; two children killed in wall collapse
20201125,city.rajkot,Gujarat,,Man killed for illicit affair with married woman
20200104,city.rajkot,Gujarat,,Married woman raped in Bhuj village
20200112,city.rajkot,Gujarat,,Dalit woman raped; blackmailed
20200312,city.rajkot,Gujarat,,Woman raped; blackmailed; branded in private parts
20200422,city.rajkot,Gujarat,,Rajkot: Woman raped on pretext of marriage
20200526,city.rajkot,Gujarat,,Married woman raped at knifepoint
20200703,city.rajkot,Gujarat,,Rajkot: Woman 'raped' on pretext of marriage
20200916,city.rajkot,Gujarat,,20-year-old woman allegedly raped by two in Patan village
20200918,city.rajkot,Gujarat,,Minor gang raped; six including woman detained in Bhuj's Madhapur
20201005,city.rajkot,Gujarat,,Woman raped in front of minor son in 'traffic' chowky
20201028,city.rajkot,Gujarat,,30-year-old woman raped at knife-point in Gujarat's Rapar; 2 booked
20200914,city.surat,Gujarat,,Surat: Was the Thai woman killed?
20200917,city.surat,Gujarat,,Auto driver helped cop crack Thai woman's murder
20200914,city.surat,Gujarat,,Surat: Was the Thai woman killed?
20200809,city.vadodara,Gujarat,,Missing woman found killed in mine
20201007,city.vadodara,Gujarat,,Brutally killed woman was not raped: Police
20201014,city.vadodara,Gujarat,,Body of woman raped; killed found
20201216,city.vadodara,Gujarat,,Woman robbed at knife-point at her home in Padra
20200117,city.vadodara,Gujarat,,Gujarat: Woman from Borsad found murdered in Brampton city
20200515,city.vadodara,Gujarat,,Vadodara: Labourer arrested for rape; murder of 57-year-old woman
20200818,city.vadodara,Gujarat,,19-year-old woman murdered by paramour in Karjan
20200809,city.vadodara,Gujarat,,Missing woman found killed in mine
20201007,city.vadodara,Gujarat,,Brutally killed woman was not raped: Police
20201014,city.vadodara,Gujarat,,Body of woman raped; killed found
20200810,city.vadodara,Gujarat,,Karjan woman blackmailed and raped by two men in Bharuch
20201007,city.vadodara,Gujarat,,Brutally killed woman was not raped: Police
20201014,city.vadodara,Gujarat,,Body of woman raped; killed found
20200601,city.vadodara,Gujarat,,Mob attacks women in Dahod over a youth's murder last month
20201129,city.gurgaon,Haryana,13000,Nuh woman who 'killed' her four daughters still critical
20201230,city.gurgaon,Haryana,,Gurugram: Woman tied up; robbed in Sushant Lok
20201005,city.gurgaon,Haryana,,Gurugram: Woman; 25; raped and beaten up by four inside broker's office in DLF-2
20201129,city.gurgaon,Haryana,,Nuh woman who 'killed' her four daughters still critical
20201005,city.gurgaon,Haryana,,Gurugram: Woman; 25; raped and beaten up by four inside broker's office in DLF-2
20201006,city.gurgaon,Haryana,,Offered work at wedding venue; Gurugram woman raped by two
20201226,city.gurgaon,Haryana,,Woman gang-raped by 4 men in Haryana's Yamunanagar
20200529,city.jamshedpur,Jharkhand,7630,Woman among 3 PLFI rebels killed in West Singhbhum
20201019,city.jamshedpur,Jharkhand,,Elderly woman killed by nephews in West Singhbhum
20200529,city.jamshedpur,Jharkhand,,Woman among 3 PLFI rebels killed in West Singhbhum
20201019,city.jamshedpur,Jharkhand,,Elderly woman killed by nephews in West Singhbhum
20200911,city.ranchi,Jharkhand,,Elderly Gumla woman branded as witch; killed
20201206,city.ranchi,Jharkhand,,Elderly woman killed over witchcraft suspicion in Gumla
20201210,city.ranchi,Jharkhand,,Jharkhand: Woman stripped; beaten in Seraikela
20200529,city.ranchi,Jharkhand,,Woman among 3 PLFI rebels killed in West Singhbhum
20200911,city.ranchi,Jharkhand,,Elderly Gumla woman branded as witch; killed
20201206,city.ranchi,Jharkhand,,Elderly woman killed over witchcraft suspicion in Gumla
