publish_date,headline_place,headline_state,headline_text
20190609,city.agra,Uttar Pradesh,Woman killed; 6 injured in two accidents on Yamuna expressway
20190801,city.agra,Uttar Pradesh,Woman forced to drink mosquito repellent; killed
20190610,city.agra,Uttar Pradesh,Mauritian woman; her local friends robbed of cash; passport; IDs on Yamuna Expressway
20190520,city.agra,Uttar Pradesh,Woman; father beaten to death by in-laws over dowry
20190508,city.agra,Uttar Pradesh,Woman found murdered at under-construction flyover near NH-2
20190607,city.agra,Uttar Pradesh,Two men; woman found murdered in parts of Mathura
20190710,city.agra,Uttar Pradesh,Agra: Woman; paramour hire killers to murder her 'miser' husband
20191129,city.agra,Uttar Pradesh,Woman; grandfather found murdered in Mainpuri
20191226,city.agra,Uttar Pradesh,Man arrested for rape; murder of mentally challenged woman
20191229,city.agra,Uttar Pradesh,Agra police join in for last rites of woman who was raped; murdered; disowned
20190609,city.agra,Uttar Pradesh,Woman killed; 6 injured in two accidents on Yamuna expressway
20190801,city.agra,Uttar Pradesh,Woman forced to drink mosquito repellent; killed
20190628,city.agra,Uttar Pradesh,Gang-raped; woman succumbs to injuries; one accused held
20191103,city.agra,Uttar Pradesh,Woman; 22; gangraped; set afire in Aligarh
20191218,city.agra,Uttar Pradesh,Woman gang-raped by two relatives in Agra; accused arrested
20191229,city.agra,Uttar Pradesh,Agra police join in for last rites of woman who was raped; murdered; disowned
20190511,city.ahmedabad,Gujarat,Woman beaten by husband; his lover
20190829,city.ahmedabad,Gujarat,Beaten for my American dream; says woman
20190906,city.ahmedabad,Gujarat,Mentally unwell woman beaten by mob in Dariapur
20190914,city.ahmedabad,Gujarat,Gujarat: Woman BJP councillor beaten
20190227,city.ahmedabad,Gujarat,Woman beggar looted; murdered
20190504,city.ahmedabad,Gujarat,Woman admits to murder; let off by Gujarat HC since there was no supporting evidence
20190603,city.ahmedabad,Gujarat,Gujarat: Woman's murder confirmed as suicide
20190709,city.ahmedabad,Gujarat,Ahmedabad: Man; sister-in-law arrested for woman's murder
20191006,city.ahmedabad,Gujarat,Ahmedabad: Woman murders husband's paramour with son's help
20191024,city.ahmedabad,Gujarat,Kamlesh Tewari murder case: Mystery woman in CCTV footage was a passerby
20190528,city.ahmedabad,Gujarat,Ahmedabad: 75-year-old woman beggar raped
20190620,city.ahmedabad,Gujarat,Gujarat woman raped by 'naval officer'
20190627,city.ahmedabad,Gujarat,Ahmedabad: Mentally unstable woman raped; 15 weeks pregnant
20191209,city.ahmedabad,Gujarat,Woman raped; abandoned by ex-boyfriend
20191218,city.ahmedabad,Gujarat,Ahmedabad: Video of man who raped woman at knifepoint circulates; arrests made
20190411,city.ahmedabad,Gujarat,Woman banker files domestic violence complaint
20190624,city.ahmedabad,Gujarat,Ahmedabad woman files unnatural sex; violence complaint
20190913,city.ahmedabad,Gujarat,Gujarat: Woman accuses husband; daughter of domestic violence
20190225,city.allahabad,,Woman gang-raped in Allahabad
20191210,city.allahabad,,Woman 'raped' after promise of marriage; one held
20190801,city.aurangabad,,HIV+ woman from Aurangabad gang-raped by four Mumbai men
20190425,city.bareilly,Uttar Pradesh,Woman killed over dowry; 5 booked
20190531,city.bareilly,Uttar Pradesh,Woman SI's murder: Brother; nephew killed officer over property dispute; says SP
20190625,city.bareilly,Uttar Pradesh,Woman; 33; found hanging; daughter says 'papa killed her'
20190316,city.bareilly,Uttar Pradesh,Elderly woman robbed in Janakpur
20190531,city.bareilly,Uttar Pradesh,Woman SI's murder: Brother; nephew killed officer over property dispute; says SP
20190712,city.bareilly,Uttar Pradesh,Woman's body found near railway tracks; cops suspect rape and murder
20191218,city.bareilly,Uttar Pradesh,Woman; two sons among four given seven years imprisonment for murder bid
20190425,city.bareilly,Uttar Pradesh,Woman killed over dowry; 5 booked
20190531,city.bareilly,Uttar Pradesh,Woman SI's murder: Brother; nephew killed officer over property dispute; says SP
20190625,city.bareilly,Uttar Pradesh,Woman; 33; found hanging; daughter says 'papa killed her'
20190824,city.bareilly,Uttar Pradesh,Passenger vehicle turns turtle; one woman killed; 10 injured
20191113,city.bareilly,Uttar Pradesh,Woman; elderly man killed by stray bulls in western UP
20190506,city.bareilly,Uttar Pradesh,Deaf; mute woman gangraped; accused try to kill her husband
20190601,city.bareilly,Uttar Pradesh,Woman raped by two; video of crime uploaded on social media
20191218,city.bareilly,Uttar Pradesh,Woman gang-raped by two relatives in Agra; accused arrested
20190129,city.bengaluru,,55-year-old woman marching for liquor ban killed in accident
20190628,city.bengaluru,,Bengaluru: Woman gets brother killed for backing daughter's marriage
20190306,city.bengaluru,,Woman cop robbed of gold; valuables worth Rs 43;000 on train
20190519,city.bengaluru,,Pregnant woman beaten up; denied medical help by South African boyfriend
20190104,city.bengaluru,,Cops solve murder of woman after 6 years
20190206,city.bengaluru,,70-year-old home-alone woman murdered
20190217,city.bengaluru,,Woman found murdered; brother-in-law suspect
20190221,city.bengaluru,,Brother-in-law held for woman's murder
20190309,city.bengaluru,,Police probe woman; property issues in rowdy murder
20190512,city.bengaluru,,Bengaluru: Man murders woman after she hits him with broom
20190611,city.bengaluru,,Cops say deaf woman struck by train; kin alleges murder
20190801,city.bengaluru,,Woman found murdered outside Kempegowda International Airport compound
20191007,city.bengaluru,,Bengaluru: Woman claims spouse died after falling off stool; held for murder
20190129,city.bengaluru,,55-year-old woman marching for liquor ban killed in accident
20190628,city.bengaluru,,Bengaluru: Woman gets brother killed for backing daughter's marriage
20190405,city.bengaluru,,Women; transgenders demand a violence-free society
20190124,city.bhopal,Madhya Pradesh,38-year-old woman killed in accident in Habibganj
20190524,city.bhopal,Madhya Pradesh,35-yr-old woman abducted; gang-raped by masked men in Bhopal
20190611,city.bhopal,Madhya Pradesh,Married woman raped by acquaintance in Berasia
20190628,city.bhopal,Madhya Pradesh,Tribal woman raped; paraded naked in Madhya Pradesh
20190708,city.bhopal,Madhya Pradesh,Woman raped by husband and friend in Bhopal
20191023,city.bhopal,Madhya Pradesh,Domestic violence against women: MP tops the chart
20190314,city.bhubaneswar,,Woman Maoist killed in Kandhamal forest encounter
20190725,city.bhubaneswar,,Police continue drive to dig out skeleton of woman; murdered around 8 years ago
20190915,city.bhubaneswar,,Six held for murder of woman; child in Odisha's Sundargarh
20190314,city.bhubaneswar,,Woman Maoist killed in Kandhamal forest encounter
20190623,city.chandigarh,Punjab & Haryana,One killed in attack by woman; paramour; husband fights for life
20191231,city.chandigarh,Punjab & Haryana,Woman killed; hubby & son injured in Karnal
20190110,city.chandigarh,Punjab & Haryana,27-year-old woman confesses to murdering husband; held
20190121,city.chandigarh,Punjab & Haryana,Arrested for woman's murder; man commits suicide in Sonipat jail
20190225,city.chandigarh,Punjab & Haryana,Woman; paramour held for murder over land
20190329,city.chandigarh,Punjab & Haryana,Chandigarh: Burail woman murdered; former paramour arrested
20190102,city.chandigarh,Punjab & Haryana,Fog causes 12-car pile-up; woman; daughter killed
20190623,city.chandigarh,Punjab & Haryana,One killed in attack by woman; paramour; husband fights for life
20191231,city.chandigarh,Punjab & Haryana,Woman killed; hubby & son injured in Karnal
20190716,city.chandigarh,Punjab & Haryana,Woman kidnapped; raped inside moving car in Zirakpur
20190818,city.chandigarh,Punjab & Haryana,Panchkula: Woman raped for 15 months by spouse's cousin
20191208,city.chandigarh,Punjab & Haryana,Woman raped on marriage assurance in Chandigarh
20190101,city.chennai,Tamil Nadu,Woman gets lover who killed her son slain; surrenders
20190321,city.chennai,Tamil Nadu,Chennai: Woman; 35; killed & dumped in septic tank; lover on run
20190605,city.chennai,Tamil Nadu,US woman; 65; robbed at Chennai Central metro station
20190512,city.chennai,Tamil Nadu,US woman gets boyfriend abducted; beaten up by goons in Chennai
20190120,city.chennai,Tamil Nadu,Woman murdered by boyfriend; arrested
20190125,city.chennai,Tamil Nadu,Woman accused of double murder held
20190527,city.chennai,Tamil Nadu,Woman found murdered in Tiruvallur
20190806,city.chennai,Tamil Nadu,Three held for murdering woman tattoo artist in Anna Nagar
20190808,city.chennai,Tamil Nadu,Tamil Nadu: Woman lawyer held for businessman's mid-sea murder
20190101,city.chennai,Tamil Nadu,Woman gets lover who killed her son slain; surrenders
20190120,city.chennai,Tamil Nadu,Elderly woman killed in a road accident
20190321,city.chennai,Tamil Nadu,Chennai: Woman; 35; killed & dumped in septic tank; lover on run
20191106,city.chennai,Tamil Nadu,Chennai: Woman; 46; killed as auto runs over people sleeping on pavement
20190923,city.chennai,Tamil Nadu,Chennai: Centre meant to help women facing violence needs aid
20190723,city.chennai,Tamil Nadu,Chennai: 2 women murder auto driver for love of another man
20190304,city.coimbatore,Tamil Nadu,Woman; lover get life for murdering hubby
20190306,city.coimbatore,Tamil Nadu,Woman found murdered
20190320,city.coimbatore,Tamil Nadu,Woman murders 72-yr-old; loots jewels
20190819,city.coimbatore,Tamil Nadu,Woman booked for murdering hubby in Coimbatore
20191119,city.coimbatore,Tamil Nadu,Tirupur: Woman found murdered
20191201,city.coimbatore,Tamil Nadu,Construction worker held for murdering 70-year-old woman in Coimbatore
20190713,city.coimbatore,Tamil Nadu,Woman; 45-year-old son killed in road accident
20190915,city.cuttack,,Six held for murder of woman; child in Odisha's Sundargarh
