publish_date,headline_category,headline_text
20211212,city.delhi,79-yr-old woman killed at home in Rajendra Ngr
20211219,city.jaipur,Three including woman killed in 2 mishaps in Bayana
20211223,city.bareilly,UP: Woman killed in celebratory firing on son's birthday bash; accused arrested
20211224,city.mumbai,Mumbai: Woman; hotel staff killed as car rams into parked bus
20211226,city.pune,Woman taking husband's body home killed in Pune accident
20211226,city.chennai,Woman turns to woman goon to get hubby killed in Chennai
20211228,city.navimumbai,mumbai raigad woman sarpanch killed naked body found in bushes
20211231,city.hyderabad,Woman killed; hubby & son hurt as lorry hits bike
20210107,city.nashik,Woman robbed of gold chain in Nashik
20210217,city.mumbai,Woman attacked; robbed in train at Vasai
20210315,city.pune,Woman walking on Taljai hill robbed
20210403,city.ahmedabad,Woman robbed after man makes pass at her
20210620,city.gurgaon,Doorbell gang again? Elderly woman tied to chair; robbed in Gurugram
20210622,city.coimbatore,Woman robbed of mangalsutra in Coimbatore's Ikkarai Boluvampatti
20210708,city.kolkata,Kolkata: Garden Reach woman tied up & gang-raped at home; robbed
20210710,city.trichy,Woman robbed at knifepoint in Madurai city
20210722,city.kolkata,Robbed; stabbed at North Kolkata home; alleges woman
20210729,city.nashik,Woman robbed of gold chains worth Rs 98;000 in Nashik
20210803,city.trichy,Woman drugged; robbed by two posing as salespersons
20210813,city.navimumbai,panvel woman robbed of gold chain from a moving auto
20210903,city.nashik,Woman robbed of gold chain worth Rs 70k
20210904,city.patna,Woman robbed in Patna; girl dies in road accident
20210925,city.pune,Pune: Woman pushed off bike & robbed
20210928,city.delhi,Woman in auto waylaid; robbed at knifepoint by three men in east Delhi
20211007,city.delhi,Snatchers drag woman in Nangloi; businessman robbed near CR Park
20211015,city.hyderabad,Hyderabad: Woman guard gang-raped; robbed near Himayatsagar
20211106,city.kolkata,Kolkata: Alone at Tallah home on Kali Puja night; 73-year-old woman attacked; robbed
20211107,city.delhi,Delhi: Man offers lift to old woman; robbed
20211116,city.patna,Woman shot in Munger; trader robbed of Rs 3L in Madhepura
20211122,city.delhi,Delhi: Woman in 70s beaten and robbed in Rajouri Garden
20211207,city.nashik,Nashik: Woman robbed of gold chain worth Rs 62;000
20211216,city.rajkot,70-year-old woman robbed; murdered
