publish_date,headline_category,headline_text
20190101,city.chennai,Woman gets lover who killed her son slain; surrenders
20190102,city.chandigarh,Fog causes 12-car pile-up; woman; daughter killed
20190102,city.thane,Woman; lover who killed husband held; had spiked his food with 30 sleeping pills
20190116,world.south-asia,Indian woman among 4 killed in Kabul attack
20190120,city.thiruvananthapuram,Woman killed as KSRTC bus rams two-wheeler
20190120,city.chennai,Elderly woman killed in a road accident
20190124,city.bhopal,38-year-old woman killed in accident in Habibganj
20190126,city.delhi,Woman was killed by 3 for resisting rape in Haryana's Jhajjar
20190126,city.delhi,Delhi: Neighbour killed woman to get rid of Rs 12 lakh debt
20190129,city.bengaluru,55-year-old woman marching for liquor ban killed in accident
20190129,city.delhi,murder not suicide old couple killed by massage womans son in south delhis kailash colony
20190130,city.delhi,Delhi: Teen who killed elderly couple entered in woman's garb
20190206,city.gurgaon,family of woman killed by scribe husband attack cops arrested
20190208,city.varanasi,Woman; son killed in mortar explosion
20190217,city.nagpur,35-year-old Chandrapur woman killed in tiger attack
20190220,city.meerut,5 killed as car hits woman; falls into canal in Bulandshahr
20190222,city.gurgaon,30-yr-old woman killed; husband; in-laws booked
20190304,city.hubballi,70-year-old woman killed in accident
20190305,city.lucknow,Lucknow: Woman killed by cousin over property dispute
20190314,city.bhubaneswar,Woman Maoist killed in Kandhamal forest encounter
20190314,city.ludhiana,Woman killed as car rolls over
20190317,city.kochi,Thrissur woman killed in New Zealand firing: Relatives
20190321,city.chennai,Chennai: Woman; 35; killed & dumped in septic tank; lover on run
20190324,city.thiruvananthapuram,Young woman killed in accident
20190403,city.gurgaon,Gurugram: Woman gets uncle killed by lover; tries to frame husband
20190410,city.kanpur,Two kids; woman; among four killed in accident on highway
20190413,city.hyderabad,Hyderabad: Woman who killed niece in revenge act gets life term
20190417,city.dehradun,Woman dies under 'mysterious circumstances'; family says killed for dowry
20190417,city.jaipur,Rajasthan: Woman killed by brother-in-law in Karauli
20190419,city.vadodara,Vadodara: Woman; mother killed by jilted lover
20190422,city.jaipur,Woman killed for dowry in Dholpur
20190422,india,3 Indians; woman with Kerala roots killed in Colombo
20190423,city.delhi,Speeding car hits bike; pregnant woman killed
20190425,city.bareilly,Woman killed over dowry; 5 booked
20190426,city.kochi,Kerala: Missing woman's kin killed in accident
20190428,india,Woman Maoist with Rs 12 lakh bounty on head killed
20190501,city.nagpur,Newly married woman among three killed in mishap
20190501,city.jaipur,Jaipur: Elderly woman killed in sleep; robbed of jewellery
20190502,city.delhi,Delhi: Woman doctor killed; flatmate on the run
20190502,city.lucknow,Lucknow: Killed by paramour; woman's body dug out
20190504,city.gurgaon,Woman killed as car rams bicycle; driver held day after
20190507,city.kochi,Woman killed in accident as daughter looks on
20190511,city.kolkata,Woman killed in BT Road bike accident
20190513,city.dehradun,28-yr-old woman from Punjab killed on Kedarnath trek after being hit by boulder
20190516,city.dehradun,28-year-old woman from Punjab killed on Kedarnath trek after being hit by boulder
20190516,city.mumbai,Body on beach: Woman may have killed self
20190517,city.jaipur,Wedding party turns tragic as woman killed by lightning in Bundi district
20190517,city.kanpur,Kanpur woman killed as bus hits bike; catches fire
20190531,city.bareilly,Woman SI's murder: Brother; nephew killed officer over property dispute; says SP
20190531,city.delhi,Woman; 4-year-old son killed in their central Delhi house
20190609,city.agra,Woman killed; 6 injured in two accidents on Yamuna expressway
20190623,city.chandigarh,One killed in attack by woman; paramour; husband fights for life
20190625,city.bareilly,Woman; 33; found hanging; daughter says 'papa killed her'
20190627,city.patna,50-year-old woman killed for practising 'witchcraft'
20190628,city.bengaluru,Bengaluru: Woman gets brother killed for backing daughter's marriage
20190710,india,Woman Maoist with Rs 8 lakh bounty on head killed
20190710,politics,Woman Maoist with Rs 8 lakh bounty on head killed
20190711,city.jaipur,Woman killed; 11 hurt after live wire falls on bus in Alwar
20190711,city.pune,Woman killed by falling branch on Ghole road
20190713,city.coimbatore,Woman; 45-year-old son killed in road accident
20190717,city.gurgaon,Gurugram: Woman killed; stuffed in plastic bag and dumped
20190719,city.mumbai,Malad woman killed in hit-and-run
20190801,city.agra,Woman forced to drink mosquito repellent; killed
20190804,city.dehradun,Woman; 65; killed by leopard in Motichur range
20190806,city.mumbai,Auto driver held for mishap that killed woman 15 days ago in Mumbai
20190814,city.hyderabad,Hyderabad: Beggar killed for alleged misbehavior with woman
20190814,city.mumbai,Woman killed in parking lot hit-and-run in Mumbai
20190824,city.bareilly,Passenger vehicle turns turtle; one woman killed; 10 injured
20190824,city.kolkata,Chinese woman; dad-in-law killed in Tangra
20190825,city.jaipur,Rasjasthan woman killed in row over water; brother-in-law booked
20190831,city.delhi,Woman killed in building collapse in Delhi's Samaypur Badli
20190903,city.thane,Woman killed in Thane; cops suspect absconding husband
20190904,city.thane,Thane: Woman who killed 'alcoholic' husband gets life sentence
20190916,city.trichy,Woman killed in bike-truck collision near Trichy airport
20190920,city.kanpur,killed for honour womans body traced 4 months later after court spurs police
20190929,city.hyderabad,Woman killed in wall collapse in Hyderabad
20191003,city.delhi,Delhi: Speeding car rams 2 others; woman killed
20191011,city.rajkot,Rajkot: Woman killed; dumped in gutter
20191015,world.us,Woman killed by cop was playing game with nephew
20191016,city.patna,Bihar: Five killed; woman gang-raped; trader shot at; robbed of Rs 6 lakh
20191016,india,Woman killed as Pakistan violates ceasefire along LoC in Poonch
20191017,city.goa,Quepem woman killed by 'lightning'
20191024,world.rest-of-world,Woman playing Pokemon Go witnesses robbery; killed
20191027,city.rajkot,Gujarat: Woman killed in rickshaw-truck collision
20191027,city.delhi,Delhi: 24-year-old man 'killed' by kin of woman he wanted to marry
20191028,city.kolkata,Woman lawyer killed at home in East Burdwan
20191029,city.patna,Bihar: Three killed; woman priest gang-raped in 24 hours
20191103,city.visakhapatnam,AP: Woman; kid killed in accident
20191106,city.trichy,Tamil Nadu: Woman killed as wall collapses due to lightning
20191106,city.chennai,Chennai: Woman; 46; killed as auto runs over people sleeping on pavement
20191111,city.patna,Woman among six killed; minor raped in Bihar in 24 hours
20191113,city.bareilly,Woman; elderly man killed by stray bulls in western UP
20191113,city.salem,80-year-old woman killed in house collapse in Salem
20191116,city.ghaziabad,Truck hits bike; woman killed
20191127,city.hyderabad,Hyderabad: Woman killed as RTC temporary driver drags her to death
20191128,city.mangaluru,Woman killed in accident on Udupi-Kochi NH
20191128,city.vijayawada,AP: Woman killed by hubby for posting TikTok videos
20191205,city.vijayawada,Woman & baby girl killed; burnt bodies found in Andhra Pradesh
20191211,city.patna,Buxar murder case solved: Father; brother killed woman
20191215,city.noida,Cabbie killed: Woman; brothers held
20191220,city.madurai,Tamil Nadu: Divorced woman killed by father for refusing to remarry
20191231,city.chandigarh,Woman killed; hubby & son injured in Karnal
20190105,city.noida,Woman robbed of Rs 50;000 cash; new phone in Ghaziabad
20190113,city.trichy,Elderly woman robbed in Trichy
20190209,city.trichy,Elderly woman robbed of four sovereign gold chain
20190302,city.mysuru,Woman who robbed elderly bus passengers arrested
20190306,city.bengaluru,Woman cop robbed of gold; valuables worth Rs 43;000 on train
20190316,city.bareilly,Elderly woman robbed in Janakpur
20190327,city.trichy,Woman on bike robbed of her gold chain by duo
20190501,city.jaipur,Jaipur: Elderly woman killed in sleep; robbed of jewellery
20190518,city.thane,Thane: Woman; son robbed of Rs 30;000 at gunpoint
20190519,city.delhi,Delhi: Woman MNC executive throttled; robbed by two
20190604,city.lucknow,Woman robbed of jewellery; purse at gunpoint in Lucknow; FIR filed
20190605,city.chennai,US woman; 65; robbed at Chennai Central metro station
20190610,city.agra,Mauritian woman; her local friends robbed of cash; passport; IDs on Yamuna Expressway
20190625,city.delhi,Family robbed; woman thrashed for resisting
20190709,city.nagpur,Woman robbed in car with chemical spray
20190711,city.gurgaon,Executive has drinks; dinner with woman in hotel room; robbed
20190719,city.hyderabad,Woman who robbed kids in police net
20190723,city.pune,Pune: Alone at home; woman robbed of gold ornaments worth Rs 2.77 lakh
20190727,city.hyderabad,Hyderabad: Police nab woman who sedated; robbed relatives
20190810,city.trichy,Woman robbed of gold chain weighing 8 sovereigns
20190828,city.trichy,Woman robbed of gold chain
