headline_state,NCRB_stats_2020,TOI_2020,,
Andhra Pradesh,17089,10,,
Bengal,36439,6,,
Bihar,15359,22,,
Delhi,10093,8,,
Goa,219,4,,
Gujarat,8028,61,,
Haryana,13000,7,,
Jharkhand,7630,10,,
Karnataka,12680,19,,
Kerala,10139,5,,
Maharashtra,31954,41,,
Punjab,4838,7,,
Rajasthan,34535,32,,
Tamil Nadu,6630,39,,
Telangana,17791,40,,
Uttar Pradesh,49385,79,,
Uttarakhand,2846,15,,
