publish_date,headline_place,headline_state,headline_text
20211212,city.delhi,Delhi,79-yr-old woman killed at home in Rajendra Ngr
20210104,city.delhi,Delhi,Delhi: Woman; daughter raped; two held after video goes viral
20210820,city.delhi,Delhi,Woman raped in car in NE Delhi; 2 nabbed
20210919,city.delhi,Delhi,Delhi woman in UP offered lift; gang-raped by 3
20210922,city.delhi,Delhi,Conductor held after woman alleges her 14-yr-old girl raped
20210430,city.goa,Goa,Goa: High court acquits woman in Vasco double murder case
20210110,city.goa,Goa,GFP urges women's panel to investigate Melauli violence
20210227,city.goa,Goa,Women's helpline logs most calls on domestic violence
20211109,city.goa,Goa,CM Pramod Sawant raises Bengal's violence against women; slams Didi
20210405,city.ahmedabad,Gujarat,Ahmedabad woman killed on suspicion of extramarital affair
20210421,city.ahmedabad,Gujarat,Woman drugged; gang-raped; killed
20210403,city.ahmedabad,Gujarat,Woman robbed after man makes pass at her
20210901,city.ahmedabad,Gujarat,Woman speaks up for mother-in-law; beaten by husband
20210916,city.ahmedabad,Gujarat,Ahmedabad: Woman from Danilimda deprived of sex; beaten by husband
20210405,city.ahmedabad,Gujarat,Ahmedabad woman killed on suspicion of extramarital affair
20210421,city.ahmedabad,Gujarat,Woman drugged; gang-raped; killed
20210202,city.ahmedabad,Gujarat,Ahmedabad: Woman raped by tuition class owner
20210324,city.ahmedabad,Gujarat,Surat woman raped by boyfriend; friend
20210421,city.ahmedabad,Gujarat,Woman drugged; gang-raped; killed
20210904,city.ahmedabad,Gujarat,Woman raped by ex; forced to take poison in Ahmedabad
20211018,city.ahmedabad,Gujarat,Woman raped by in-laws in Ahmedabad
20210118,city.ahmedabad,Gujarat,Violence against pregnant women up in Gujarat
20210204,city.rajkot,Gujarat,Woman panchayat member killed
20211015,city.rajkot,Gujarat,branded as a witch young woman killed in cold blood
20211216,city.rajkot,Gujarat,70-year-old woman robbed; murdered
20210519,city.rajkot,Gujarat,60-year-old woman beaten to death by sons in Gujarat
20210206,city.rajkot,Gujarat,'Love affair' led to 42-yr-old woman sarpanch's murder
20210512,city.rajkot,Gujarat,Woman finds husband was murdered day he went missing
20210526,city.rajkot,Gujarat,Woman booked for murdering her two kids
20210608,city.rajkot,Gujarat,Jamnagar: Two held for murdering 50-yr-old woman
20210705,city.rajkot,Gujarat,Gujarat: 19-year-old murdered for talking to a woman
20210710,city.rajkot,Gujarat,Woman; son murdered by her paramour in Bhavnagar
20210817,city.rajkot,Gujarat,Woman murdered by paramour in front of her husband
20211216,city.rajkot,Gujarat,70-year-old woman robbed; murdered
20210107,city.rajkot,Gujarat,Man killed for having extra-marital affair with married woman
20210204,city.rajkot,Gujarat,Woman panchayat member killed
20211015,city.rajkot,Gujarat,branded as a witch young woman killed in cold blood
20211119,city.rajkot,Gujarat,Woman blackmailed; raped by ex-boyfriend in Bhavnagar
20210228,city.rajkot,Gujarat,Female cub killed during infighting in Dhari
20210105,city.surat,Gujarat,Woman who killed her molester gets bail
20210121,city.surat,Gujarat,Gujarat: Woman killed for Rs 63 lakh life insurance money
20210819,city.surat,Gujarat,Jharkhand man killed in Gujarat's Bharuch over affair with married woman
20210408,city.surat,Gujarat,Greed drove millionaire woman to plot murder
20210623,city.surat,Gujarat,Life term to three for 2011 loot and murder of woman
20210105,city.surat,Gujarat,Woman who killed her molester gets bail
20210121,city.surat,Gujarat,Gujarat: Woman killed for Rs 63 lakh life insurance money
20210819,city.surat,Gujarat,Jharkhand man killed in Gujarat's Bharuch over affair with married woman
20210218,city.vadodara,Gujarat,Rickshaw driver killed for slapping woman
20210710,city.vadodara,Gujarat,Anand: Dead woman detected killed
20211109,city.vadodara,Gujarat,Gujarat: Branded as 'witch'; woman killed by husband; father-in-law
20211217,city.vadodara,Gujarat,Life term for man who raped; murdered woman
20210218,city.vadodara,Gujarat,Rickshaw driver killed for slapping woman
20210611,city.vadodara,Gujarat,Vadodara: Residents allege water contamination killed a woman in Nagarwada area
20210710,city.vadodara,Gujarat,Anand: Dead woman detected killed
20210924,city.vadodara,Gujarat,Gujarat: Woman killed in lightning strike in Dahod
20211109,city.vadodara,Gujarat,Gujarat: Branded as 'witch'; woman killed by husband; father-in-law
20211212,city.vadodara,Gujarat,Woman killed by sloth bear in Gujarat's Dahod
20211217,city.vadodara,Gujarat,Life term for man who raped; murdered woman
20211223,city.vadodara,Gujarat,Woman raped; stabbed in Gujarat's Dahod district
20210104,city.vadodara,Gujarat,138 women in Gujarat faced domestic violence daily in 2019
20210920,city.gurgaon,Haryana,Woman killed; two injured as truck rams car in Sector 52
20210620,city.gurgaon,Haryana,Doorbell gang again? Elderly woman tied to chair; robbed in Gurugram
20210920,city.gurgaon,Haryana,Woman killed; two injured as truck rams car in Sector 52
20210429,city.ranchi,Jharkhand,Gumla woman killed while tilling field; body found with throat slit
20211029,city.ranchi,Jharkhand,Woman killed in suspected witch-hunting case in E Singhbhum
20210513,city.ranchi,Jharkhand,Dhanbad police arrest 3 for murder of elderly woman
20210429,city.ranchi,Jharkhand,Gumla woman killed while tilling field; body found with throat slit
20211029,city.ranchi,Jharkhand,Woman killed in suspected witch-hunting case in E Singhbhum
20210318,city.ranchi,Jharkhand,Dalit woman gang raped in Garhwa; FIR registered against friend; 2 others
20210713,city.ranchi,Jharkhand,Mentally challenged woman raped in Dhanbad hospital; probe ordered
20210512,city.kochi,Kerala,Idukki woman killed in rocket attack in Israel
20210716,city.kochi,Kerala,Guest worker; woman killed in separate freak accidents in Kochi
20210617,city.kochi,Kerala,Kerala: Spurned youth murders woman in Malappuram
20210905,city.kochi,Kerala,Kerala: Murder bid on woman in Idukki ; case filed against dead lover
20210912,city.kochi,Kerala,Two relatives arrested for murder of elderly woman
20210512,city.kochi,Kerala,Idukki woman killed in rocket attack in Israel
