publish_date,headline_category,headline_text
20200104,city.jaipur,Woman killed; cops suspect missing daughter
20200110,city.hyderabad,Woman killed in road mishap; hubby injured
20200123,city.kolhapur,Kolhapur: Woman killed; three injured in accident
20200125,city.coimbatore,City police yet to trace identity of woman found killed in 2018
20200130,city.delhi,Jahangirpuri double murder: Woman; son killed for Rs 6 lakh
20200201,city.patna,Woman mukhiya among four killed in Bihar in 24 hours
20200202,city.varanasi,Woman killed; daughter injured in attack in Ballia
20200208,city.bengaluru,Bengaluru woman techie who killed mom counselled for suicidal thoughts
20200213,city.ahmedabad,Transgender woman killed by lover in Ahmedabad's Sardarnagar
20200219,city.bareilly,Woman; teenage daughter killed; husband critical as truck hits motorbike
20200219,city.bareilly,Woman 'killed' by half-brother for property; honour
20200219,city.bengaluru,Karnataka: Jeep that killed woman was allotted to government official
20200219,city.madurai,Woman from Pune killed in accident
20200219,city.trichy,Woman from Pune killed in accident
20200222,city.mysuru,Woman killed; 12 injured as private bus overturns in Hunsur
20200224,city.kolhapur,Woman killed; one injured in road accident
20200225,city.nagpur,40-year-old woman killed in tiger attack in TATR buffer
20200225,city.mumbai,Mumbai: Elderly woman in Versova killed; body found tied up
20200228,city.madurai,Madurai police nab gang which killed woman 5 years ago
20200302,city.kolkata,Woman killed as vehicle rams bike in Kolkata
20200302,city.rajkot,Woman killed; 15 hurt as SUV overturns
20200304,city.pune,Pune: Woman goes to cops & says she killed live-in partner
20200306,city.madurai,Woman pillion rider; 60; killed in accident
20200308,city.hyderabad,Woman killed; cops suspect husband
20200315,city.dehradun,Woman killed; daughter injured after being run over by truck in US Nagar
20200325,city.patna,Woman; son killed over open defecation dispute
20200330,city.allahabad,Uttar Pradesh: 20-year-old woman killed by husband
20200407,city.patna,Bihar: Elderly woman killed in Madhubani
20200412,city.bareilly,Bareilly SSP steps in after fake news on 'woman SI being killed by TJ men'
20200416,city.rajkot,35-year-old woman sexually assaulted; killed in Rajkot
20200420,city.nagpur,Woman killed by tiger; mahua proving to be death trap
20200509,city.varanasi,Varanasi: Woman killed by daughter; grandson over land dispute
20200513,city.kanpur,On way to Jaunpur from Thane in auto; woman-daughter duo killed in accident
20200513,city.thane,On way to Jaunpur from Thane in auto; woman-daughter duo killed in accident
20200518,city.patna,elderly woman among 6 killed in state in 24 hours
20200520,city.rajkot,Woman killed for resisting rape attempt in Rajkot
20200524,city.bareilly,Husband not beau killed Shahjahanpur woman
20200527,city.hyderabad,Hyderabad: Driver; woman killed by kin in two cases
20200529,city.ranchi,Woman among 3 PLFI rebels killed in West Singhbhum
20200529,city.jamshedpur,Woman among 3 PLFI rebels killed in West Singhbhum
20200602,city.kochi,Woman killed; hubby seriously hurt in attack
20200604,city.ludhiana,Killed in Meerut; alive on FB; tale of a woman who eloped with imposter
20200611,city.chandigarh,8-month pregnant woman killed by husband
20200621,city.hyderabad,Elderly woman killed; robbed by domestic help
20200624,city.dehradun,Woman killed in leopard attack in Nainital
20200624,city.mysuru,Karnataka: Home alone woman killed; gold stolen
20200628,city.hyderabad,Hyderabad: Woman killed in rock blasting at Kondapur
20200710,city.bareilly,Nine months after pregnant woman 'killed for dowry'; FIR filed against seven accused
20200727,city.bareilly,22 year old woman killed for dowry in Pilibhit; 7 booked
20200728,city.aurangabad,Aurangabad teen killed after petty argument; woman among 3 arrested
20200801,city.mysuru,Son killed woman for scolding him in Karnataka
20200801,city.jaipur,Rajasthan: Woman killed as ambulance overturns in Jhalawar district
20200805,city.jaipur,45-year-old Jaipur woman found killed; police suspect family feud
20200806,city.bareilly,21-year-old woman killed in road accident
20200809,city.vadodara,Missing woman found killed in mine
20200816,city.bengaluru,Bengaluru: 70-year-old woman killed; Rs 45 lakh stolen
20200820,city.bareilly,Covid-19 positive woman leaps from 2nd floor of hospital; killed; cops suspect escape bid
20200820,city.jaipur,Rajasthan: Woman killed in wall collapse in Baran
20200821,city.bareilly,23-year-old woman killed over dowry
20200823,city.kochi,Kerala: Tribeswoman killed for tipping off smuggling
20200825,city.hyderabad,Woman killed at her house in Dundigal
20200908,city.rajkot,Woman; two children killed in wall collapse
20200911,city.ranchi,Elderly Gumla woman branded as witch; killed
20200914,city.surat,Surat: Was the Thai woman killed?
20200929,city.nashik,Woman killed in accident on h'way
20201001,city.dehradun,Woman killed by elephant in Ramnagar
20201001,city.hyderabad,Auto driver who killed woman for jewellery arrested
20201002,city.dehradun,Woman killed; 2 still missing and feared dead after car falls into Tehri lake
20201002,city.varanasi,Woman killed in Gorakhpur; body found stuffed in box
20201004,city.hyderabad,Woman killed; body dumped in Vikarabad district
20201007,city.vadodara,Brutally killed woman was not raped: Police
20201014,city.vadodara,Body of woman raped; killed found
20201017,city.udaipur,Cages to trap leopard that killed woman in Udaipur
20201019,city.jamshedpur,Elderly woman killed by nephews in West Singhbhum
20201105,city.nashik,44-year-old woman killed in accident
20201106,city.hyderabad,Tribal woman raped & killed; 3 arrested
20201108,city.bareilly,Woman stabbed 50 times; mutilated over 'property dispute'; dad killed too
20201110,city.pune,Woman killed after container hits moped
20201112,city.agra,Gurugram woman among three killed on Yamuna Expressway
20201113,city.coimbatore,80-year-old woman killed for gold; cash in Tirupur
20201116,city.patna,Elderly woman & her minor grandson killed; four injured in Bihar
20201125,city.rajkot,Man killed for illicit affair with married woman
20201129,city.agra,Delhi woman; daughter killed in car crash on Yamuna e-way
20201129,city.gurgaon,Nuh woman who 'killed' her four daughters still critical
20201202,city.coimbatore,Woman ; 65; killed in wild boar attack
20201204,city.vijayawada,Andhra Pradesh: Woman killed over property feud; 10 held
20201206,city.ranchi,Elderly woman killed over witchcraft suspicion in Gumla
20201218,city.bareilly,UP woman 'blackmailed & sexually exploited' for 21 years; then killed for property at 42
20201227,city.kanpur,Woman; her three kids killed as hut catches fire
20201229,city.vijayawada,Andhra Pradesh: Woman killed in violent clashes at Velagapudi in Guntur district
20200102,city.nashik,Woman robbed of gold chain in Mhasrool
20200123,city.pune,Pune: Woman robbed of gold chain worth Rs 2.2 lakh on Pashan hill
20200201,city.trichy,Woman robbed of gold chain; house burgled in Trichy
20200206,city.nashik,Woman robbed of chain; man of cellphone
20200208,city.visakhapatnam,Woman strangled to death; house robbed
20200302,city.nashik,Woman robbed of gold chain worth Rs 30;000
20200311,city.nashik,Woman robbed of her gold chain in Mhasrool
20200603,city.mysuru,Woman robbed of her gold chain
20200618,city.chennai,Chennai: Railways told to pay Rs 1.7 lakh to robbed woman
20200621,city.hyderabad,Elderly woman killed; robbed by domestic help
20200812,city.aurangabad,70-yr-old woman murdered and robbed in Hingoli
20201001,city.rajkot,Gujarat: Woman duped; robbed of cash; jewellery worth Rs 2 lakh
20201003,city.nashik,Woman robbed of her cellphone
20201011,city.hyderabad,Elderly woman robbed of gold chain in Turkapally
20201101,city.nashik,Woman robbed of gold chain in Panchavati
20201116,city.chennai,Homealone woman; 75; robbed in Tirumullaivoyal
20201126,city.mumbai,Mumbai: Woman molested; robbed by duo on WR local at night
20201213,city.pune,Pune: Man robbed by woman he met on dating application
20201216,city.vadodara,Woman robbed at knife-point at her home in Padra
20201230,city.gurgaon,Gurugram: Woman tied up; robbed in Sushant Lok
20200107,city.jaipur,Rajasthan: Elderly woman beaten to death by three sons; daughters-in-law
20200118,city.hyderabad,Hyderabad: College employee beaten to death for harassing woman
20200129,city.ahmedabad,Ahmedabad: Neighbour tries to rescue mentally ill woman; beaten
20200212,city.jaipur,Pregnant woman dies; Jaipur lady doctor beaten up
20200315,city.bengaluru,Bengaluru: Pregnant woman beaten up after extortion bid
20200404,city.pune,Pune: Watchman beaten up for misbehaving with woman; dies
20200529,city.agra,woman suffering from fever beaten mercilessly by tantric video goes viral fir filed against four
20200611,city.ahmedabad,Ahmedabad: Woman beaten for buying diapers
20200701,city.madurai,Tuticorin custodial deaths: Father; son beaten all night; says TN woman cop
20200731,city.ahmedabad,Woman councillor beaten in Ahmedabad
20200805,city.hyderabad,Woman beaten by 'witch doctor' in Karimnagar dies
20200808,city.jaipur,Rajasthan: Woman beaten up; paraded naked for marrying lover
20200825,city.jaipur,Rajasthan: 80-year-old woman beaten to death by grandson for Rs 20;000 in Bundi
20200901,city.ahmedabad,Ahmedabad woman calls husband to celebrate her birthday; beaten
20200902,city.patna,Woman beaten to death by kin for littering their plot in Bihar
20200917,city.meerut,pregnant woman 25 beaten to death by hubby in laws for dowry in ups muzaffarnagar
20200925,city.bareilly,Eight months pregnant woman beaten to death for dowry in Moradabad
20201005,city.gurgaon,Gurugram: Woman; 25; raped and beaten up by four inside broker's office in DLF-2
20201010,city.ahmedabad,Woman beaten for not selling ganthiya
20201110,city.bareilly,Two; including woman; beaten to death in separate incidents in Uttar Pradesh
20201111,city.ahmedabad,Ahmedabad: Woman beaten by teen son over her divorce
20201129,city.jaipur,Rajasthan: 30-year-old woman beaten to death by lover in Jhalawar
20201208,city.bareilly,19-year-old woman beaten to death for dowry in Pilibhit
20201208,city.chennai,Chennai: Drunk cop harasses woman; beaten up
20201210,city.ranchi,Jharkhand: Woman stripped; beaten in Seraikela
20200104,city.dehradun,Day after Haldwani murder; woman accompanying victim held for plotting crime
20200107,city.bengaluru,Acid attack: Woman; 2 others held for shopkeeper's murder in Bengaluru
